ott,vernacular,lang_primary,lang_full,preferred,src
181537,Amniotes,en,en,1,0
7377,Mammals,en,en,1,0
118027,Caecilians,en,en,1,0
728299,"Lizards and Snakes",en,en,1,0
21790,Monotremes,en,en,1,0
223044,"Modern turtles",en,en,1,0
17092469,"Placental mammals",en,en,1,0
5113,"Modern birds",en,en,1,0
1096960,"Stem marsupials",en,en,1,0
131801,Cynodonts,en,en,1,0
35890,Tuatara,en,en,1,0
35881,Lepidosaurs,en,en,1,0
25537662,Snakes,en,en,1,0
329457,"Dinosaurs, birds, turtles and crocodilians",en,en,1,0
25363,"Modern crocodilians",en,en,1,0
430,"Dinosaurs and birds",en,en,1,0
231550,"Modern treeshrews",en,en,1,0
